N0,Food commodity,Pricing Type,Currency,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,YTD'24,YTD'25,Change (%)
93,Round eggplants (kg),Wholesale,KHR,2423,2908,4700,2200,2832,2295,2033,2568,1907,2651.777777777778,2167,1704,3068,2264,2608,2254,2758,3282,3895,2666.6666666666665,26517.777777777777,26666.666666666668,0.005614681974356994
94,Tomatoes (kg),Wholesale,KHR,2630,3306,5545,4776,3881,3965,4288,3692,4113,4021.777777777778,1982,2467,3092,3292,3471,3214,3769,4708,5240,3470.5555555555557,40217.77777777778,34705.555555555555,-0.1370593435738756
95,Spong gourd (kg),Wholesale,KHR,2469,2500,3246,2717,2233,1875,1977,2139,2241,2377.4444444444443,1958,1975,2125,2379,2656,2494,2275,2792,2804,2384.222222222222,23774.444444444445,23842.222222222223,0.002850866943964192
96,Ridge Gourd (kg),Wholesale,KHR,2560,2679,3333,2533,2583,2141,2156,2094,2458,2504.1111111111113,2120,1975,2393,2729,2563,2494,2250,2705,2688,2435.222222222222,25041.11111111111,24352.222222222223,-0.02751031636863821
97,Green papaya (kg),Wholesale,KHR,1083,1364,1479,1514,1644,1233,1224,1162,1054,1306.3333333333333,1271,1136,971,939,742,796,958,853,1023,965.4444444444445,13063.333333333334,9654.444444444445,-0.26095092285446964
98,Long bean (kg),Wholesale,KHR,3979,6167,14583,6958,2854,2622,2306,2453,3608,5058.888888888889,2857,2750,3530,5813,3576,2922,2231,2714,4588,3442.3333333333335,50588.88888888889,34423.333333333336,-0.3195475510652317
99,Banana flower (kg),Wholesale,KHR,2019,2208,3180,3085,2545,1932,1721,2400,1998,2343.1111111111113,2393,2368,2600,2103,1825,1725,2063,2207,2526,2201.1111111111113,23431.11111111111,22011.11111111111,-0.06060318664643405
100,Cauliflower (kg),Wholesale,KHR,4333,5708,6500,6395,5868,6454,8209,7464,6615,6394.0,3854,4143,4455,6055,5038,5350,7591,6754,7560,5644.444444444444,63940.0,56444.444444444445,-0.11722795676502273
101,Chinese Kale (kg),Wholesale,KHR,4100,4000,4615,4889,4674,4267,4614,4857,5235,4583.444444444444,3154,3362,4515,5742,4022,3675,5104,6151,6608,4703.666666666667,45834.444444444445,47036.666666666664,0.026229667159583858
102,Orange-flesh Sweet Potatoes (kg),Wholesale,KHR,1813,1958,2150,2250,2458,2421,2250,2189,1776,2140.5555555555557,2114,1994,1813,1927,1394,1500,1955,2173,2200,1896.6666666666667,21405.555555555555,18966.666666666668,-0.1139371917985984
103,Water lily (kg),Wholesale,KHR,1983,2575,2383,1733,2500,1933,1333,1900,1510,1983.3333333333333,2000,1850,1976,2008,2000,1700,2100,2619,3500,2194.777777777778,19833.333333333332,21947.777777777777,0.10661064425770306
104,Climbing wattle (kg),Wholesale,KHR,10917,10133,8500,10000,8952,6167,5344,6400,7486,8211.0,7071,6625,5286,6250,5740,5833,6400,7531,9205,6660.111111111111,82110.0,66601.11111111111,-0.1888794165008999
105,Lufa Gourd leaf (kg),Wholesale,KHR,-,-,4000,5000,3500,-,4500,4000,4000,4166.666666666667,4500,-,3500,-,-,-,0,5500,8000,5375.0,29166.666666666668,26875.0,-0.07857142857142863
106,Agati (kg),Wholesale,KHR,8000,-,4563,3000,3733,-,6500,0,4500,5049.333333333333,6000,4000,4000,-,-,-,4000,4500,8000,5083.333333333333,35345.333333333336,35583.333333333336,0.006733562186427289
107,Abalone mushroom (kg),Wholesale,KHR,7800,8136,8944,7667,7905,7333,7361,6528,6972,7627.333333333333,6722,7357,6927,6815,6593,7000,7906,7550,6946,7090.666666666667,76273.33333333333,70906.66666666667,-0.07036098243160549
108,Cabbage (kg),Wholesale,KHR,2439,2860,3288,2681,2377,2857,2852,3511,3233,2899.777777777778,2063,2150,2287,2554,2555,2567,2665,2773,3174,2532.0,28997.777777777777,25320.0,-0.12682964211816994
109,Chinese salad (kg),Wholesale,KHR,3294,3611,3567,2675,3382,4020,4573,3850,3468,3604.4444444444443,2875,2594,2642,3607,3092,3272,3270,3471,3488,3145.6666666666665,36044.444444444445,31456.666666666668,-0.12728113440197286
110,Bean sprout (kg),Wholesale,KHR,2471,2619,2500,2253,2424,2452,3021,2543,2983,2585.1111111111113,2444,2506,2537,2725,2537,2613,2531,2519,2427,2537.6666666666665,25851.11111111111,25376.666666666668,-0.018352961402905432
111,Baby watermelon (kg),Wholesale,KHR,2000,2375,2700,1750,2188,2500,2500,2250,2000,2251.4444444444443,2500,-,3167,-,-,-,0,2250,2500,2604.25,22514.444444444445,13021.25,-0.42164906479790754
112,Okra (kg),Wholesale,KHR,4292,4200,5167,4417,4567,3250,4361,4250,4537,4337.888888888889,3833,4900,4389,5083,4760,4679,4317,4875,4389,4580.555555555556,43378.88888888889,45805.555555555555,0.05594119003099296
113,Baby corn (kg),Wholesale,KHR,7000,7300,7667,10500,6250,7208,7950,7600,8357,7759.111111111111,6417,5750,7571,8429,7083,6833,7375,4015,0,6684.125,77591.11111111111,60157.125,-0.22469050721732153
114,Corn (kg),Wholesale,KHR,2700,2300,4333,-,-,-,0,0,2500,2958.25,-,700,2500,-,-,-,3167,0,0,2122.3333333333335,14791.25,8489.333333333334,-0.42605707203019805
115,Palm fruit (sliced) (kg),Wholesale,KHR,6000,5500,6250,4000,5600,4500,5000,0,8000,5606.25,6750,7000,5400,5500,5500,6333,7667,5750,6000,6211.111111111111,50456.25,62111.11111111111,0.2309894435498301
116,Cucumber (kg),Wholesale,KHR,2893,2977,2592,2371,2121,1872,1885,1590,2380,2297.8888888888887,2168,2200,2632,3013,1723,1300,2817,3270,1773,2321.777777777778,22978.88888888889,23217.777777777777,0.010396015666553682
117,Taro (kg),Wholesale,KHR,3183,3792,4964,3667,4550,5708,5500,5800,5905,4785.444444444444,5111,4750,4630,4188,4429,4179,3750,4367,4143,4394.111111111111,47854.444444444445,43941.11111111111,-0.08177575518354274
118,Chinese radish (kg),Wholesale,KHR,2750,2938,3219,2554,2757,2661,3369,2500,2557,2811.6666666666665,1988,2417,2145,2675,2421,2381,2483,3047,2915,2496.8888888888887,28116.666666666668,24968.88888888889,-0.11195415925706376
119,Bamboo shoot (kg),Wholesale,KHR,3500,4611,4020,2570,2056,1292,1742,2833,2908,2836.8888888888887,5625,4500,2904,2317,1508,1940,1817,2611,3125,2927.4444444444443,28368.88888888889,29274.444444444445,0.031920726930910304
120,Pineapple/Anana (kg),Wholesale,KHR,2467,2500,2417,2517,2967,2667,2750,3000,2653,2659.777777777778,2125,2250,2393,2396,2300,2219,2275,2595,2063,2290.6666666666665,26597.777777777777,22906.666666666668,-0.13877516918706656
